price (high season),Name,Location
24.5,Ascou Pailhères,France
21.5,Gresse en Vercors,France
49,Unterbäch – Brandalp/​Ginals,Switzerland
49,Schwemmalm,Italy
82,49 Degrees North Mountain Resort,USA
25.5,L'Essert – Abondance,France
219,Telluride,USA
48,Sudelfeld – Bayrischzell,Germany
13,Elatochori – Katerini,Greece
52,Wurzeralm – Spital am Pyhrn,Austria
53,Corralco,Chile
20.5,Lans en Vercors,France
52,Santa Caterina Valfurva,Italy
31,Aizu Kogen Takatsue,Japan
44,Strandafjellet,Norway
34,Rangger Köpfl – Oberperfuss,Austria
52,Rosskopf (Monte Cavallo) – Sterzing (Vipiteno),Italy
43,Valmalenco – Alpe Palù,Italy
35,Krvavec,Slovenia
35,Campo Felice – Rocca di Cambio,Italy
29,Valdezcaray,Spain
55,Berwang/​Bichlbach/​Rinnen,Austria
15,Seli,Greece
61,Alpe Lusia – Moena/​Bellamonte,Italy
24,La Colmiane,France
33,Takasu Snow Park,Japan
29,Les Monts d'Olmes,France
16,Monesi di Triora (temporarily closed),Italy
109,Angel Fire,USA
35,Lélex/​Crozet,France
138,Sunday River,USA
28,Akitaken – Tazawako,Japan
41,Naeba (Mt. Naeba),Japan
52,Kasberg – Grünau im Almtal,Austria
55,Gaustablikk – Rjukan,Norway
40,Glencoe Mountain,United Kingdom
109,Alyeska Resort – Girdwood,USA
36,Sarn (Heinzenberg),Switzerland
33,Jam Katsuyama,Japan
42,Narvikfjellet – Narvik,Norway
17,Audibergue,France
36.5,La Pierre Saint Martin,France
22,Campo di Giove – Majella occidentale,Italy
26,Mizuho Highland,Japan
42.6,Patscherkofel – Innsbruck-Igls,Austria
31,Togakushi,Japan
23,Mechi Chal – Chepelare,Bulgaria
47,Hemavan,Sweden
35,Champorcher,Italy
27,Sun Alpina Kashimayari,Japan
109,Gore Mountain,USA
40.5,Petzen – Feistritz ob Bleiburg,Austria
48,Baldy Mountain Resort,Canada
32,Grüntenlifte – Kranzegg (Rettenberg) (temporarily closed),Germany
75,Cypress Mountain,Canada
58,Wildhaus – Gamserrugg (Toggenburg),Switzerland
36,Tschappina/​Urmein (Heinzenberg),Switzerland
29.9,Val Louron,France
35.5,La Dôle/​Les Tuffes (Jura sur Léman),France
55,Christlum – Achenkirch,Austria
40,Alpe di Mera – Scopello,Italy
33,Alts Bandai,Japan
34,Aflenz Bürgeralm,Austria
54,Stoos – Fronalpstock/​Klingenstock,Switzerland
60,Montana Snowbowl,USA
56,Great Divide,USA
208,Mammoth Mountains,USA
49,Giw – Visperterminen,Switzerland
33,Dynaland,Japan
31,Washigatake/​White Pia,Japan
68,Flachauwinkl/​Kleinarl (Shuttleberg),Austria
29,Iwappara,Japan
56,Racines-Giovo (Ratschings-Jaufen)/​Malga Calice (Kalcheralm),Italy
32.5,Formiguères,France
55,Splügen – Tambo,Switzerland
168,Sugarbush,USA
56,Ehrwalder Alm – Ehrwald,Austria
39,Sahoro,Japan
20,Campo Stella – Leonessa,Italy
55,St. Jakob im Defereggental – Brunnalm,Austria
38,Amden – Arvenbüel/​Mattstock,Switzerland
58.5,Balme/​Les Autannes – Vallorcine/​Le Tour,France
16,Turecká (Staré Hory),Slovakia
34,Vrátna,Slovakia
55,Hochstein – Lienz,Austria
39.5,Forni di Sopra,Italy
41,Myoko Akakura,Japan
178,Alta,USA
31,Passo Maniva,Italy
20,Pontechianale,Italy
30.3,Arvieux,France
22,Pian Munè – Paesana,Italy
44,Monte Bondone,Italy
15,Vigla Pisoderi/​Verno – Florina,Greece
34,Alto Campoo,Spain
39,La Berra – La Roche,Switzerland
26.5,Le Mourtis,France
44,Hahnenkamm – Höfen/​Reutte,Austria
40,Keilberg (Klínovec),Czech Republic
249,Deer Valley,USA
65.5,Spieljoch – Fügen,Austria
48.1,Krippenstein – Obertraun,Austria
73,Bogus Basin,USA
31,Poiana Brașov,Romania
41,Lotte Arai Resort,Japan
54,Braunwald,Switzerland
37,Sapporo Teine,Japan
36,Lofsdalen,Sweden
51,Hudson Bay Mountain – Smithers,Canada
86,Whakapapa – Mt. Ruapehu,New Zealand
26,Prali,Italy
29,Hakuba Cortina,Japan
37,Pamporovo,Bulgaria
29,La Covatilla – Sierra de Béjar,Spain
100,Tamarack Resort,USA
19.5,La Sambuy – Seythenex,France
39,Mont Edouard – L'Anse-Saint-Jean,Canada
29,Ogna Hotaka,Japan
50,Myrkdalen,Norway
46,Pfelders (Moos in Passeier),Italy
15,Gubaha,Russia
134,Okemo,USA
9,Sonntag-Stein,Austria
43,Feldberg – Seebuck/​Grafenmatt/​Fahl,Germany
38,Bjorli,Norway
13,Ravna Planina,Bosnia and Herzegovina
27,Zavjalikha,Ural Federal District
42,Minschuns – Val Müstair-Tschierv,Switzerland
29,Hakusan Ichirino Onsen,Japan
31,Borno – Monte Altissimo,Italy
28,Valgrande Pajares,Spain
41,Kaiseregg/​Riggisalp – Schwarzsee,Switzerland
55.5,Markbachjoch/​Lanerköpfl – Niederau,Austria
91,Whitewater – Nelson,Canada
31,Ryuoo Ski Park,Japan
47,Ladurns,Italy
26,Adzhigardak,Ural Federal District
18,Ala di Stura,Italy
28,Muikamachi Hakkaisan,Japan
24,Asarigawa Onsen,Japan
52,Ankogel – Mallnitz,Austria
20,Febbio 2000 – Monte Cusna,Italy
18,St. Gréé,Italy
53,Mont Orford,Canada
12,Kashka Suu,Kyrgyzstan
39,Lavarone,Italy
35,La Pinilla,Spain
44,Muttereralm – Mutters/​Götzens,Austria
20,Oukaïmeden,Morocco
33,Meiho,Japan
22,Baikalsk – Sobolinaya,Siberia
99,Cannon Mountain,USA
80,Mt. Hutt,New Zealand
22.1,Saint-Michel-de-Chaillol,France
94,Mount Washington,Canada
48,Wiriehorn,Switzerland
34,Palcall Tsumagoi,Japan
21,Stara Planina – Babin Zub,Serbia
26,Laceno – Bagnoli Irpino (temporarily closed),Italy
56,YongPyong Resort,South Korea
40,Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/​St. Jakob in Haus/​Hochfilzen,Austria
168,Stratton,USA
95,Le Massif de Charlevoix,Canada
39.5,Kanin – Sella Nevea/​Bovec,Slovenia
24,Mount Tanigawa – Tanigawadake Tenjindaira,Japan
35,Monte Magnola – Ovindoli,Italy
40,Hoshino Resorts Tomamu,Japan
25,Szklarska Poręba – Szrenica,Poland
21,Nukabira Gensenkyo,Japan
49,Tatranská Lomnica,Slovakia
52,Lachtal,Austria
57.5,Nebelhorn – Oberstdorf,Germany
115,Whiteface – Lake Placid,USA
29,La Hoya,Argentina
29,Togari Onsen,Japan
24,Gréolières les Neiges,France
42,Rothwald/​Wasenalp (Simplon Pass),Switzerland
15,Voras – Kaimaktsalan,Greece
25,Mittagbahn – Immenstadt,Germany
46,Eischoll,Switzerland
33,Unterberg – Pernitz,Austria
114,Timberline,USA
43,Arnoldstein – Dreiländereck,Austria
25,Chelmos – Kalavrita,Greece
62,Lagazuói/​5 Torri – Passo Giau/​Passo Falzàrego,Italy
15.2,Le Semnoz,France
53,Rosshütte – Seefeld,Austria
35,Bydalsfjällen – Bydalen,Sweden
15.3,Serre-Eyraud (Orcières),France
34,Kampenwand – Aschau im Chiemgau,Germany
59,Moelltal Glacier (Mölltaler Gletscher),Austria
39,Iwate Kogen,Japan
57.5,Ifen,Austria
50,Fanningberg,Austria
27,Ikenotaira Onsen,Japan
134,Kirkwood,USA
38,Murray Ridge,Canada
39.5,Sappada,Italy
42,Idre Fjäll,Sweden
86,Mt. Hood Skibowl,USA
97,Mad River Glen,USA
97,Brian Head,USA
58,Les Mosses/​La Lécherette,Switzerland
27,Ontake 2240,Japan
38,Bugnenets-Savagnières – Saint-Imier,Switzerland
34,Oze Iwakura,Japan
36.4,Niedere – Andelsbuch/​Bezau,Austria
44,Gemeindealpe – Mitterbach am Erlaufsee,Austria
30,Panarotta 2002 – Valsugana,Italy
40,Fox Peak,New Zealand
43,Valinouët,Canada
43,Carì,Switzerland
30,Antagnod,Italy
22,Monte Catria,Italy
43,Stöten,Sweden
31.5,Kelchsau (temporarily closed),Austria
235,Northstar California Resort,USA
122,Thredbo,Australia
46,Hochwang – Goldgruben,Switzerland
