ID,Name,Country,Notes
54884451,Sonntag / Buchboden,Austria,Forecast Only
54884453,Spital am Pyhrn,Austria,Forecast Only
54884455,Spital am Semmering Stuhleck,Austria,Forecast Only
54884457,St Aegyd am Neuwalde,Austria,Forecast Only
222021,St Anton,Austria,
54883794,St Christoph am Arlberg,Austria,Forecast Only
54884459,St Corona am Wechsel,Austria,Forecast Only
54884461,St Gallenkirch,Austria,Forecast Only
54883910,St Jakob,Austria,Forecast Only
54884463,St Jakob im Walde,Austria,Forecast Only
54884465,St Jakob in Defereggen,Austria,Forecast Only
222022,St Johann,Austria,
54884467,St Johann - Alpendorf,Austria,Forecast Only
54883796,St Johann im Pongau,Austria,Forecast Only
54884469,St Johann in Tirol,Austria,Forecast Only
54884471,St Kathrein am Offenegg,Austria,Forecast Only
54884473,St Lambrecht - St Blasen,Austria,Forecast Only
54883834,St Leonhard / Pitztaler Gletscher,Austria,Forecast Only
54884475,St Lorenzen bei Knittelfeld,Austria,Forecast Only
54884477,St Margarethen im Lungau,Austria,Forecast Only
54884479,St Martin - Tennegebirge,Austria,Forecast Only
54884481,St Michael im Lungau,Austria,Forecast Only
54884483,St Oswald,Austria,Forecast Only
54884485,St Radegund bei Graz,Austria,Forecast Only
54884487,St Ulrich am Pillersee,Austria,Forecast Only
54884489,St Urban / Simonhohe,Austria,Forecast Only
54884491,St Veit,Austria,Forecast Only
54884495,St Wolfgang am Zirbitz,Austria,Forecast Only
54883909,St. Gallenkirch,Austria,Forecast Only
54883640,St. Michael,Austria,
54884497,Stans,Austria,Forecast Only
54884499,Stanz,Austria,Forecast Only
54884501,Stanzach,Austria,Forecast Only
54884503,Steinach am Brenner / Gschnitz,Austria,Forecast Only
54884505,Steinberg am Rofan,Austria,Forecast Only
54884507,Strallegg,Austria,Forecast Only
54883641,Strass,Austria,
54883378,Stubai Glacier,Austria,
54884509,Stuben,Austria,Forecast Only
54883911,Tannheim,Austria,Forecast Only
54884511,Tauplitz,Austria,Forecast Only
54883912,Telfes im Stubai,Austria,Forecast Only
54884513,Thierbach,Austria,Forecast Only
54884515,TirolWest,Austria,Forecast Only
54884519,Tragob,Austria,Forecast Only
54884521,Trahutten,Austria,Forecast Only
54883817,Trins,Austria,
54884523,Tschagguns,Austria,Forecast Only
54884525,Tulfes,Austria,Forecast Only
54883379,Turracher Hohe,Austria,
54884527,Tux - Finkenberg,Austria,Forecast Only
54884529,Unken,Austria,Forecast Only
54884531,Uttendorf - Weibsee,Austria,Forecast Only
54884533,Vandans,Austria,Forecast Only
54883652,Vent,Austria,
54884535,Vichtenstein,Austria,Forecast Only
54884537,Villach / Dobratsch,Austria,Forecast Only
54884539,Vorderstoder,Austria,Forecast Only
222035,Wagrain,Austria,
54884541,Waidhofen an der Ybbs,Austria,Forecast Only
54884543,Waidring,Austria,Forecast Only
54884545,Walchsee,Austria,Forecast Only
54884547,Wald am Schoberpab,Austria,Forecast Only
54884549,Wald im Oberpinzgau,Austria,Forecast Only
54884551,Waldzell,Austria,Forecast Only
54883380,Warth-Schrocken,Austria,
54884553,Weerberg,Austria,Forecast Only
54884555,Weinebene,Austria,Forecast Only
54884557,Weissbriach,Austria,Forecast Only
54884559,Weissensee,Austria,Forecast Only
54884561,Wenigzell,Austria,Forecast Only
